bench,name,seed,cond,delta,target,gain,acc_gain,joint_harm,apply,flip_harm,flip_help
mosei,CMAD,0,a,0.0,cross_mask,0.0502232142857143,0.04741379310344829,0.09913793103448276,0.32068965517241377,0.03793103448275862,0.0853448275862069
mosei,CMAD,0,a,0.02,cross_mask,0.0502232142857143,0.04741379310344829,0.09913793103448276,0.32068965517241377,0.03793103448275862,0.0853448275862069
mosei,CMAD,0,a,0.05,cross_mask,0.0502232142857143,0.04741379310344829,0.10086206896551723,0.3232758620689655,0.03793103448275862,0.0853448275862069
mosei,CMAD,0,a,0.1,cross_mask,0.0502232142857143,0.04741379310344829,0.1,0.32413793103448274,0.03793103448275862,0.0853448275862069
mosei,CMAD,0,a,0.2,cross_mask,0.0502232142857143,0.04741379310344829,0.04224137931034483,0.32413793103448274,0.03793103448275862,0.0853448275862069
mosei,CMAD,1,a,0.0,cross_mask,0.05622932745314224,0.045689655172413746,0.08017241379310344,0.23017241379310344,0.04051724137931034,0.08620689655172414
mosei,CMAD,1,a,0.02,cross_mask,0.05622932745314224,0.045689655172413746,0.08017241379310344,0.23017241379310344,0.04051724137931034,0.08620689655172414
mosei,CMAD,1,a,0.05,cross_mask,0.055126791620727644,0.045689655172413746,0.08362068965517241,0.23706896551724138,0.041379310344827586,0.08706896551724137
mosei,CMAD,1,a,0.1,cross_mask,0.055126791620727644,0.045689655172413746,0.0603448275862069,0.23706896551724138,0.041379310344827586,0.08706896551724137
mosei,CMAD,1,a,0.2,cross_mask,0.055126791620727644,0.045689655172413746,0.0034482758620689655,0.23706896551724138,0.041379310344827586,0.08706896551724137
mosei,CMAD,2,a,0.0,cross_mask,0.02813852813852813,0.028448275862068995,0.034482758620689655,0.15862068965517243,0.017241379310344827,0.045689655172413794
mosei,CMAD,2,a,0.02,cross_mask,0.02813852813852813,0.028448275862068995,0.034482758620689655,0.15862068965517243,0.017241379310344827,0.045689655172413794
mosei,CMAD,2,a,0.05,cross_mask,0.02813852813852813,0.028448275862068995,0.034482758620689655,0.15862068965517243,0.017241379310344827,0.045689655172413794
mosei,CMAD,2,a,0.1,cross_mask,0.02813852813852813,0.028448275862068995,0.034482758620689655,0.15862068965517243,0.017241379310344827,0.045689655172413794
mosei,CMAD,2,a,0.2,cross_mask,0.02813852813852813,0.028448275862068995,0.032758620689655175,0.15862068965517243,0.017241379310344827,0.045689655172413794
mosei,CMAD,3,a,0.0,cross_mask,0.04220779220779214,0.042241379310344884,0.0939655172413793,0.2767241379310345,0.025,0.06724137931034482
mosei,CMAD,3,a,0.02,cross_mask,0.04220779220779214,0.042241379310344884,0.0939655172413793,0.2767241379310345,0.025,0.06724137931034482
mosei,CMAD,3,a,0.05,cross_mask,0.04220779220779214,0.042241379310344884,0.0939655172413793,0.2767241379310345,0.025,0.06724137931034482
mosei,CMAD,3,a,0.1,cross_mask,0.04220779220779214,0.042241379310344884,0.0939655172413793,0.2767241379310345,0.025,0.06724137931034482
mosei,CMAD,3,a,0.2,cross_mask,0.04220779220779214,0.0431034482758621,0.0939655172413793,0.27844827586206894,0.025,0.06810344827586207
mosei,CMAD,4,a,0.0,cross_mask,0.05771365149833518,0.06379310344827593,0.13275862068965516,0.41379310344827586,0.04051724137931034,0.10431034482758621
mosei,CMAD,4,a,0.02,cross_mask,0.05771365149833518,0.06379310344827593,0.13275862068965516,0.41379310344827586,0.04051724137931034,0.10431034482758621
mosei,CMAD,4,a,0.05,cross_mask,0.05771365149833518,0.06379310344827593,0.13275862068965516,0.41379310344827586,0.04051724137931034,0.10431034482758621
mosei,CMAD,4,a,0.1,cross_mask,0.05771365149833518,0.06379310344827593,0.13275862068965516,0.41379310344827586,0.04051724137931034,0.10431034482758621
mosei,CMAD,4,a,0.2,cross_mask,0.05771365149833518,0.06379310344827593,0.1310344827586207,0.425,0.04051724137931034,0.10431034482758621
mosei,CMAD,0,v,0.0,cross_mask,0.0636160714285714,0.03965517241379313,0.12586206896551724,0.3931034482758621,0.052586206896551725,0.09224137931034483
mosei,CMAD,0,v,0.02,cross_mask,0.0636160714285714,0.03965517241379313,0.12586206896551724,0.3931034482758621,0.052586206896551725,0.09224137931034483
mosei,CMAD,0,v,0.05,cross_mask,0.0636160714285714,0.03965517241379313,0.12586206896551724,0.3931034482758621,0.052586206896551725,0.09224137931034483
mosei,CMAD,0,v,0.1,cross_mask,0.0647321428571428,0.04137931034482767,0.12586206896551724,0.39913793103448275,0.052586206896551725,0.0939655172413793
mosei,CMAD,0,v,0.2,cross_mask,0.0636160714285714,0.04051724137931034,0.1146551724137931,0.41120689655172415,0.054310344827586204,0.09482758620689655
mosei,CMAD,1,v,0.0,cross_mask,0.05292171995589856,0.04051724137931034,0.1413793103448276,0.38275862068965516,0.041379310344827586,0.08189655172413793
mosei,CMAD,1,v,0.02,cross_mask,0.05292171995589856,0.04051724137931034,0.1413793103448276,0.38275862068965516,0.041379310344827586,0.08189655172413793
mosei,CMAD,1,v,0.05,cross_mask,0.05292171995589856,0.04051724137931034,0.1413793103448276,0.38275862068965516,0.041379310344827586,0.08189655172413793
mosei,CMAD,1,v,0.1,cross_mask,0.061742006615215006,0.04741379310344829,0.175,0.5137931034482759,0.06206896551724138,0.10948275862068965
mosei,CMAD,1,v,0.2,cross_mask,0.061742006615215006,0.04741379310344829,0.09568965517241379,0.5137931034482759,0.06206896551724138,0.10948275862068965
mosei,CMAD,2,v,0.0,cross_mask,0.037878787878787956,0.02931034482758621,0.06982758620689655,0.2,0.028448275862068967,0.05775862068965517
mosei,CMAD,2,v,0.02,cross_mask,0.037878787878787956,0.02931034482758621,0.06982758620689655,0.2,0.028448275862068967,0.05775862068965517
mosei,CMAD,2,v,0.05,cross_mask,0.037878787878787956,0.02931034482758621,0.06982758620689655,0.2,0.028448275862068967,0.05775862068965517
mosei,CMAD,2,v,0.1,cross_mask,0.037878787878787956,0.02931034482758621,0.06982758620689655,0.2,0.028448275862068967,0.05775862068965517
mosei,CMAD,2,v,0.2,cross_mask,0.05086580086580095,0.042241379310344884,0.10172413793103448,0.3439655172413793,0.05344827586206897,0.09568965517241379
mosei,CMAD,3,v,0.0,cross_mask,0.04220779220779214,0.02758620689655178,0.08706896551724137,0.26120689655172413,0.032758620689655175,0.0603448275862069
mosei,CMAD,3,v,0.02,cross_mask,0.04220779220779214,0.02758620689655178,0.08706896551724137,0.26120689655172413,0.032758620689655175,0.0603448275862069
mosei,CMAD,3,v,0.05,cross_mask,0.04220779220779214,0.02758620689655178,0.08706896551724137,0.26120689655172413,0.032758620689655175,0.0603448275862069
mosei,CMAD,3,v,0.1,cross_mask,0.04112554112554112,0.026724137931034453,0.09051724137931035,0.2681034482758621,0.0353448275862069,0.06206896551724138
mosei,CMAD,3,v,0.2,cross_mask,0.058441558441558406,0.04051724137931034,0.13448275862068965,0.3853448275862069,0.054310344827586204,0.09482758620689655
mosei,CMAD,4,v,0.0,cross_mask,0.03440621531631516,0.025862068965517238,0.09827586206896552,0.27586206896551724,0.05344827586206897,0.07931034482758621
mosei,CMAD,4,v,0.02,cross_mask,0.03440621531631516,0.025862068965517238,0.09827586206896552,0.27586206896551724,0.05344827586206897,0.07931034482758621
mosei,CMAD,4,v,0.05,cross_mask,0.03440621531631516,0.025862068965517238,0.09827586206896552,0.27586206896551724,0.05344827586206897,0.07931034482758621
mosei,CMAD,4,v,0.1,cross_mask,0.03440621531631516,0.025862068965517238,0.09827586206896552,0.27586206896551724,0.05344827586206897,0.07931034482758621
mosei,CMAD,4,v,0.2,cross_mask,0.04883462819089901,0.04051724137931034,0.10948275862068965,0.31896551724137934,0.059482758620689656,0.1
mosei,CMAD,0,av,0.0,cross_mask,0.041294642857142794,0.01551724137931032,0.10948275862068965,0.2525862068965517,0.0706896551724138,0.08620689655172414
mosei,CMAD,0,av,0.02,cross_mask,0.0558035714285714,0.028448275862068884,0.19137931034482758,0.47586206896551725,0.11120689655172414,0.1396551724137931
mosei,CMAD,0,av,0.05,cross_mask,0.0546875,0.02931034482758621,0.16982758620689656,0.5456896551724137,0.1206896551724138,0.15
mosei,CMAD,0,av,0.1,cross_mask,0.0546875,0.02931034482758621,0.11379310344827587,0.5456896551724137,0.1206896551724138,0.15
mosei,CMAD,0,av,0.2,cross_mask,0.0546875,0.02931034482758621,0.04310344827586207,0.5456896551724137,0.1206896551724138,0.15
mosei,CMAD,1,av,0.0,cross_mask,0.06063947078280041,0.04482758620689664,0.09137931034482759,0.2810344827586207,0.03793103448275862,0.08275862068965517
mosei,CMAD,1,av,0.02,cross_mask,0.06063947078280041,0.04482758620689664,0.09137931034482759,0.2810344827586207,0.03793103448275862,0.08275862068965517
mosei,CMAD,1,av,0.05,cross_mask,0.06063947078280041,0.04482758620689664,0.09137931034482759,0.2810344827586207,0.03793103448275862,0.08275862068965517
mosei,CMAD,1,av,0.1,cross_mask,0.06284454244762949,0.05086206896551726,0.13275862068965516,0.3905172413793103,0.056896551724137934,0.10775862068965517
mosei,CMAD,1,av,0.2,cross_mask,0.06945975744211685,0.05431034482758623,0.125,0.5379310344827586,0.08103448275862069,0.1353448275862069
mosei,CMAD,2,av,0.0,cross_mask,0.03463203463203468,0.026724137931034564,0.06206896551724138,0.2189655172413793,0.016379310344827588,0.04310344827586207
mosei,CMAD,2,av,0.02,cross_mask,0.04329004329004327,0.03362068965517251,0.07413793103448275,0.25689655172413794,0.019827586206896553,0.05344827586206897
mosei,CMAD,2,av,0.05,cross_mask,0.04329004329004327,0.03362068965517251,0.07413793103448275,0.25689655172413794,0.019827586206896553,0.05344827586206897
mosei,CMAD,2,av,0.1,cross_mask,0.04329004329004327,0.03362068965517251,0.07413793103448275,0.25689655172413794,0.019827586206896553,0.05344827586206897
mosei,CMAD,2,av,0.2,cross_mask,0.04761904761904767,0.036206896551724155,0.08448275862068966,0.29310344827586204,0.025,0.061206896551724135
mosei,CMAD,3,av,0.0,cross_mask,0.10064935064935066,0.0724137931034482,0.1706896551724138,0.4370689655172414,0.09568965517241379,0.16810344827586207
mosei,CMAD,3,av,0.02,cross_mask,0.10064935064935066,0.0724137931034482,0.16637931034482759,0.4370689655172414,0.09568965517241379,0.16810344827586207
mosei,CMAD,3,av,0.05,cross_mask,0.09848484848484851,0.07155172413793098,0.15689655172413794,0.45517241379310347,0.09913793103448276,0.1706896551724138
mosei,CMAD,3,av,0.1,cross_mask,0.09956709956709964,0.0724137931034482,0.1206896551724138,0.4543103448275862,0.09827586206896552,0.1706896551724138
mosei,CMAD,3,av,0.2,cross_mask,0.09956709956709964,0.0724137931034482,0.05344827586206897,0.4543103448275862,0.09827586206896552,0.1706896551724138
mosei,CMAD,4,av,0.0,cross_mask,0.031076581576026552,0.018103448275862077,0.09827586206896552,0.3275862068965517,0.04396551724137931,0.06206896551724138
mosei,CMAD,4,av,0.02,cross_mask,0.031076581576026552,0.018103448275862077,0.09827586206896552,0.3275862068965517,0.04396551724137931,0.06206896551724138
mosei,CMAD,4,av,0.05,cross_mask,0.031076581576026552,0.018103448275862077,0.09827586206896552,0.3275862068965517,0.04396551724137931,0.06206896551724138
mosei,CMAD,4,av,0.1,cross_mask,0.031076581576026552,0.018103448275862077,0.09827586206896552,0.3275862068965517,0.04396551724137931,0.06206896551724138
mosei,CMAD,4,av,0.2,cross_mask,0.049944506104328434,0.03275862068965518,0.11810344827586207,0.4896551724137931,0.06206896551724138,0.09482758620689655
mosei,TMDC,0,a,0.0,cross_mask,0.0033222591362126463,0.002577319587628857,0.04209621993127148,0.14261168384879724,0.002577319587628866,0.005154639175257732
mosei,TMDC,0,a,0.02,cross_mask,0.0033222591362126463,0.002577319587628857,0.04209621993127148,0.14261168384879724,0.002577319587628866,0.005154639175257732
mosei,TMDC,0,a,0.05,cross_mask,0.0033222591362126463,0.002577319587628857,0.037800687285223365,0.14261168384879724,0.002577319587628866,0.005154639175257732
mosei,TMDC,0,a,0.1,cross_mask,0.0033222591362126463,0.002577319587628857,0.012027491408934709,0.14261168384879724,0.002577319587628866,0.005154639175257732
mosei,TMDC,0,a,0.2,cross_mask,0.0033222591362126463,0.002577319587628857,0.0,0.14261168384879724,0.002577319587628866,0.005154639175257732
mosei,TMDC,1,a,0.0,cross_mask,0.0010905125408943173,0.0,0.08161512027491409,0.27319587628865977,0.006013745704467354,0.006013745704467354
mosei,TMDC,1,a,0.02,cross_mask,0.0010905125408943173,0.0,0.08161512027491409,0.27319587628865977,0.006013745704467354,0.006013745704467354
mosei,TMDC,1,a,0.05,cross_mask,0.0010905125408943173,0.0,0.08161512027491409,0.27319587628865977,0.006013745704467354,0.006013745704467354
mosei,TMDC,1,a,0.1,cross_mask,0.01526717557251911,0.012886597938144284,0.12027491408934708,0.37371134020618557,0.01718213058419244,0.03006872852233677
