family,dataset,condition,target,seed,alpha,delta,beta,base_metric,apply_rate,joint_harm,cond_harm,acc_gain,loss_gain,blanket_acc_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,q_hat,n_conf,n_test,exchangeable
vision,hateful_memes,imgmiss,hard,0,0.1,0.05,0.6,0.544,0.543,0.042,0.077348,0.004,0.000612,0.009,0.002738,0.264,0.55,0.781772,250,1000,True
vision,hateful_memes,imgmiss,cross_mask,0,0.1,0.05,0.0,0.544,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.549,0.779209,250,1000,True
vision,hateful_memes,imgmiss,hard,0,0.15,0.05,0.6,0.544,0.576,0.056,0.097222,0.004,-0.000813,0.009,0.002738,0.264,0.55,0.765371,250,1000,True
vision,hateful_memes,imgmiss,cross_mask,0,0.15,0.05,0.0,0.544,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.549,0.752788,250,1000,True
vision,hateful_memes,imgmiss,hard,0,0.2,0.05,0.6,0.544,0.623,0.078,0.125201,0.004,-0.003035,0.009,0.002738,0.264,0.55,0.735303,250,1000,True
vision,hateful_memes,imgmiss,cross_mask,0,0.2,0.05,0.0,0.544,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.549,0.735572,250,1000,True
vision,hateful_memes,imgmiss,hard,0,0.3,0.05,0.6,0.544,0.69,0.114,0.165217,0.004,-0.006,0.009,0.002738,0.264,0.55,0.687045,250,1000,True
vision,hateful_memes,imgmiss,cross_mask,0,0.3,0.05,0.0,0.544,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.549,0.686395,250,1000,True
vision,hateful_memes,imgmiss,hard,0,0.4,0.05,0.6,0.544,0.781,0.152,0.194622,0.004,-0.006147,0.009,0.002738,0.264,0.55,0.597491,250,1000,True
vision,hateful_memes,imgmiss,cross_mask,0,0.4,0.05,0.0,0.544,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.549,0.598623,250,1000,True
vision,hateful_memes,imgmiss,hard,0,0.5,0.05,0.6,0.544,0.814,0.168,0.206388,0.004,-0.006459,0.009,0.002738,0.264,0.55,0.449192,250,1000,True
vision,hateful_memes,imgmiss,cross_mask,0,0.5,0.05,0.0,0.544,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.549,0.439796,250,1000,True
vision,food101,complete,hard,0,0.05,0.05,0.275,0.896324,0.748374,0.006549,0.008751,0.0,0.011275,0.002168,0.09354,0.18217,0.872896,0.947052,1603,21683,True
vision,food101,complete,cross_mask,0,0.05,0.05,0.375,0.896324,0.735784,0.005119,0.006958,0.0,0.010713,0.002952,0.110329,0.188027,0.871604,0.94698,1603,21683,True
vision,food101,complete,hard,0,0.1,0.05,0.275,0.896324,0.768897,0.011022,0.014335,0.000369,0.012204,0.002168,0.09354,0.18217,0.872896,0.683652,1603,21683,True
vision,food101,complete,cross_mask,0,0.1,0.05,0.375,0.896324,0.757644,0.01093,0.014427,0.000646,0.01209,0.002952,0.110329,0.188027,0.871604,0.687429,1603,21683,True
vision,food101,complete,hard,0,0.15,0.05,0.275,0.896324,0.757921,0.007748,0.010223,0.0,0.011532,0.002168,0.09354,0.18217,0.872896,0.261364,1603,21683,True
vision,food101,complete,cross_mask,0,0.15,0.05,0.375,0.896324,0.749066,0.007471,0.009974,0.0,0.011015,0.002952,0.110329,0.188027,0.871604,0.332221,1603,21683,True
vision,food101,complete,hard,0,0.2,0.05,0.275,0.896324,0.752479,0.006687,0.008887,0.0,0.011278,0.002168,0.09354,0.18217,0.872896,0.158864,1603,21683,True
vision,food101,complete,cross_mask,0,0.2,0.05,0.375,0.896324,0.742702,0.006226,0.008383,0.0,0.01051,0.002952,0.110329,0.188027,0.871604,0.199022,1603,21683,True
vision,food101,complete,hard,0,0.3,0.05,0.275,0.896324,0.697874,0.004289,0.006146,0.0,0.005608,0.002168,0.09354,0.18217,0.872896,0.027572,1603,21683,True
