condition,seed,arm,base_acc,d_acc,loss_gain,joint_harm,cond_harm,apply_rate
full,0,conformal gate,0.9074186991869919,0.00010162601626007017,0.03212404977572059,0.0017276422764227642,0.0025859446303620323,0.6680894308943089
full,0,selector:maxprob,0.9074186991869919,0.0,0.03783565838589806,0.13841463414634148,0.20762195121951219,0.6666666666666666
full,0,selector:margin,0.9074186991869919,0.0,0.03783565838589806,0.13841463414634148,0.20762195121951219,0.6666666666666666
full,0,selector:negentropy,0.9074186991869919,0.0,0.03783565838589806,0.13841463414634148,0.20762195121951219,0.6666666666666666
full,0,selector:agreement,0.9074186991869919,0.0,0.029190735327615916,0.008638211382113821,0.013432364096080911,0.6430894308943089
full,0,selector:random,0.9074186991869919,-0.0001016260162601812,0.037027196558944785,0.18648373983739838,0.27925734287018716,0.6677845528455284
full,1,conformal gate,0.9074186991869919,0.00010162601626007017,0.03208334167689834,0.0020325203252032522,0.00303951367781155,0.6686991869918699
full,1,selector:maxprob,0.9074186991869919,0.0,0.03895230477411591,0.13993902439024392,0.2088578795692401,0.670020325203252
full,1,selector:margin,0.9074186991869919,0.0,0.03895230477411591,0.13993902439024392,0.2088578795692401,0.670020325203252
full,1,selector:negentropy,0.9074186991869919,0.0,0.03895230477411591,0.13993902439024392,0.2088578795692401,0.670020325203252
full,1,selector:agreement,0.9074186991869919,0.0,0.03167019792255715,0.009044715447154471,0.013819875776397516,0.6544715447154471
full,1,selector:random,0.9074186991869919,-0.0001016260162601812,0.037090643194396845,0.18658536585365854,0.27906976744186046,0.6685975609756097
full,2,conformal gate,0.9074186991869919,0.00010162601626007017,0.03212404977572059,0.0017276422764227642,0.0025859446303620323,0.6680894308943089
full,2,selector:maxprob,0.9074186991869919,0.0,0.0367044309231767,0.13689024390243903,0.2067219152854512,0.6621951219512195
full,2,selector:margin,0.9074186991869919,0.0,0.0367044309231767,0.13689024390243903,0.2067219152854512,0.6621951219512195
full,2,selector:negentropy,0.9074186991869919,0.0,0.0367044309231767,0.13689024390243903,0.2067219152854512,0.6621951219512195
full,2,selector:agreement,0.9074186991869919,0.0,0.03167105045102559,0.008841463414634146,0.013557737260402058,0.6521341463414634
full,2,selector:random,0.9074186991869919,-0.0001016260162601812,0.037027196558944785,0.18648373983739838,0.27925734287018716,0.6677845528455284
prot50,0,conformal gate,0.8407520325203252,0.0019308943089431096,0.00829924056296275,0.00853658536585366,0.022913256955810146,0.3725609756097561
prot50,0,selector:maxprob,0.8407520325203252,0.0,0.031099333004595348,0.1676829268292683,0.44971381847914965,0.3728658536585366
prot50,0,selector:margin,0.8407520325203252,0.0,0.031099333004595348,0.1676829268292683,0.44971381847914965,0.3728658536585366
prot50,0,selector:negentropy,0.8407520325203252,0.0,0.031099333004595348,0.1676829268292683,0.44971381847914965,0.3728658536585366
prot50,0,selector:agreement,0.8407520325203252,0.0008130081300813385,0.007571689728538452,0.014227642276422764,0.04053271569195136,0.3510162601626016
prot50,0,selector:random,0.8407520325203252,0.002540650406504086,0.038312289614068476,0.19095528455284552,0.5071524966261808,0.37652439024390244
prot50,1,conformal gate,0.8407520325203252,0.0014227642276423147,0.00814364207541086,0.008130081300813009,0.021476510067114093,0.3785569105691057
prot50,1,selector:maxprob,0.8407520325203252,0.0,0.03275526147033523,0.1717479674796748,0.45187165775401067,0.3800813008130081
