condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,threshold,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,policy,seed,base_accuracy,gate_accuracy,blanket_accuracy
full,hard,0.15000000000000002,0.9630282796363018,0.0019581592430428785,0.0006566220038548565,0.2404644189734338,0.002273345727343856,0.005836478497154207,0.10955284552845529,0.8721544715447155,0.012762916525597849,0.0017447023266515419,0.780589430894309,0.03373983739837398,0.04322353860174456,0.6387885613224408,12000,2460,2460,9840,0.2,0.05,3,True,selected,0,0.9074186991869919,0.9080284552845529,0.9089430894308943
full,hard,0.15000000000000002,0.9630282796363018,0.0019581592430428785,0.0006566220038548565,0.2404644189734338,0.002273345727343856,0.005836478497154207,0.10955284552845529,0.8721544715447155,0.012762916525597849,0.0017447023266515419,0.780589430894309,0.03373983739837398,0.04322353860174456,0.6387885613224408,12000,2460,2460,9840,0.2,0.05,3,True,hard,0,0.9074186991869919,0.9080284552845529,0.9089430894308943
full,cross_mask,0.07500000000000001,0.9630282796363018,0.0010631022919553867,0.0005339989248503985,0.2404644189734338,0.0019105692624144667,0.0032060068124886215,0.027947154471544715,0.8714430894308943,0.012762916525597849,0.0017447023266515419,0.9404471544715447,0.025101626016260162,0.026691160579208992,0.06576864056428754,12000,2460,2460,9840,0.2,0.05,3,True,cross_mask,0,0.9074186991869919,0.9076219512195122,0.9076219512195122
prot50,hard,0.625,0.9115081110452127,0.031721255966833506,0.02589911813551271,0.37143656047033335,0.059732334811112515,0.06582535199341956,0.23871951219512194,0.8582317073170732,0.045900750260965954,0.0023017446631725283,0.8021341463414634,0.09308943089430895,0.11605219815025973,0.47773269332222146,12000,2460,2460,9840,0.2,0.05,5,True,selected,0,0.8407520325203252,0.8783536585365853,0.8778455284552845
prot50,hard,0.625,0.9115081110452127,0.031721255966833506,0.02589911813551271,0.37143656047033335,0.059732334811112515,0.06582535199341956,0.23871951219512194,0.8582317073170732,0.045900750260965954,0.0023017446631725283,0.8021341463414634,0.09308943089430895,0.11605219815025973,0.47773269332222146,12000,2460,2460,9840,0.2,0.05,5,True,hard,0,0.8407520325203252,0.8783536585365853,0.8778455284552845
prot50,cross_mask,0.675,0.9115081110452127,0.0309550373245836,0.024695619761433862,0.4472242782834149,0.09853365260603433,0.13589577612101236,0.2766260162601626,0.859349593495935,0.05514652311658581,0.002730204385417702,0.8479674796747968,0.15152439024390243,0.17869127516778524,0.26727759397421424,12000,2460,2460,9840,0.2,0.05,5,True,cross_mask,0,0.8407520325203252,0.8764227642276423,0.8764227642276423
prot25,hard,0.8250000000000001,0.7642491380838463,0.14279567167988816,0.1211432157531045,0.7416875189573965,0.2800793411105679,0.3464503866777573,0.30060975609756097,0.8247967479674797,0.12934077650137166,0.0037879038338270946,0.8021341463414634,0.16239837398373982,0.20245787406562776,0.38725657265244834,12000,2460,2460,9840,0.2,0.05,5,True,selected,0,0.7048780487804878,0.8388211382113822,0.8356707317073171
prot25,hard,0.8250000000000001,0.7642491380838463,0.14279567167988816,0.1211432157531045,0.7416875189573965,0.2800793411105679,0.3464503866777573,0.30060975609756097,0.8247967479674797,0.12934077650137166,0.0037879038338270946,0.8021341463414634,0.16239837398373982,0.20245787406562776,0.38725657265244834,12000,2460,2460,9840,0.2,0.05,5,True,hard,0,0.7048780487804878,0.8388211382113822,0.8356707317073171
prot25,cross_mask,0.8500000000000001,0.7642491380838463,0.1422489017348324,0.1198575997191057,0.7416875189573965,0.2811538788028186,0.35904701122036814,0.30121951219512194,0.8252032520325203,0.12934077650137166,0.0037879038338270946,0.7704268292682926,0.13343495934959348,0.17319614826540033,0.4041124313840589,12000,2460,2460,9840,0.2,0.05,5,True,cross_mask,0,0.7048780487804878,0.8355691056910569,0.8321138211382114
scaffold,hard,0.7250000000000001,0.8709724459279261,0.06518286142710872,0.055217442795620686,0.4892871217906737,0.12999536836743086,0.16327977072047786,0.23109756097560977,0.8572154471544715,0.07723067352052052,0.002968836704935077,0.8302845528455285,0.11443089430894308,0.13782129742962057,0.4453922393425021,12000,2460,2460,9840,0.2,0.05,5,True,selected,0,0.7791666666666667,0.8657520325203252,0.8658536585365854
