condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,threshold,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,policy,seed,base_accuracy,gate_accuracy,blanket_accuracy
full,cross_mask,0.47500000000000003,0.9024169921227692,0.0057613021425749755,0.004378875976699725,0.7769850990245808,0.12220449110778013,0.3707580720466637,0.3724740578918624,0.8062989259056982,0.05734033030111487,0.0031602384132120333,0.274531221554706,0.14855270344074276,0.5411140583554377,0.1996928675704858,12000,1373,1374,5493,0.2,0.05,5,True,selected,0,0.8259603131257964,0.8326961587474968,0.8326961587474968
full,hard,0.275,0.9024169921227692,0.007328595328810139,0.005036482899966388,0.7769850990245808,0.13583189679277255,0.35509458658202414,0.3659202621518296,0.8062989259056982,0.05734033030111487,0.0031602384132120333,0.2943746586564719,0.17076278900418715,0.5800865800865801,0.19286011986949564,12000,1373,1374,5493,0.2,0.05,5,True,hard,0,0.8259603131257964,0.8326961587474968,0.8326961587474968
full,cross_mask,0.47500000000000003,0.9024169921227692,0.0057613021425749755,0.004378875976699725,0.7769850990245808,0.12220449110778013,0.3707580720466637,0.3724740578918624,0.8062989259056982,0.05734033030111487,0.0031602384132120333,0.274531221554706,0.14855270344074276,0.5411140583554377,0.1996928675704858,12000,1373,1374,5493,0.2,0.05,5,True,cross_mask,0,0.8259603131257964,0.8326961587474968,0.8326961587474968
prot50,cross_mask,0.5750000000000001,0.8375420574128427,0.03669547384022298,0.028355710926045274,0.8823851039348475,0.19660177810666887,0.42070656697893477,0.3355179319133443,0.7769888949572182,0.09951781438431366,0.0037966029547887334,0.3917713453486255,0.1476424540324049,0.37685873605947956,0.28013214104938444,12000,1373,1374,5493,0.2,0.05,3,True,selected,0,0.750409612233752,0.8055707263790278,0.8057527762606954
prot50,hard,0.5,0.8375420574128427,0.036670882350601786,0.028516384162815545,0.8823851039348475,0.20079704941666646,0.407622629944834,0.2890952120881121,0.7778991443655562,0.09951781438431366,0.0037966029547887334,0.3995994902603313,0.13926815947569635,0.34851936218678814,0.2990225423952156,12000,1373,1374,5493,0.2,0.05,3,True,hard,0,0.750409612233752,0.8062989259056982,0.8062989259056982
prot50,cross_mask,0.5750000000000001,0.8375420574128427,0.03669547384022298,0.028355710926045274,0.8823851039348475,0.19660177810666887,0.42070656697893477,0.3355179319133443,0.7769888949572182,0.09951781438431366,0.0037966029547887334,0.3917713453486255,0.1476424540324049,0.37685873605947956,0.28013214104938444,12000,1373,1374,5493,0.2,0.05,3,True,cross_mask,0,0.750409612233752,0.8055707263790278,0.8057527762606954
prot25,cross_mask,0.875,0.6899632254489438,0.13087020731089738,0.12100418121607892,1.6433657728551756,0.8123255480750406,1.1184970949804067,0.4653194975423266,0.7351174221736756,0.2257655515977733,0.0054200285549786875,0.5716366284361916,0.1878754778809394,0.3286624203821656,0.3620755564125925,12000,1373,1374,5493,0.2,0.05,8,True,selected,0,0.5780083742945568,0.747860913890406,0.747860913890406
prot25,hard,0.8250000000000001,0.6899632254489438,0.13000440128008317,0.12179362768882418,1.6433657728551756,0.8165093303222403,1.1105057407482968,0.4607682505006372,0.7376661205170216,0.2257655515977733,0.0054200285549786875,0.583469870744584,0.19115237575095576,0.32761310452418096,0.355072818997432,12000,1373,1374,5493,0.2,0.05,8,True,hard,0,0.5780083742945568,0.746586564718733,0.746586564718733
prot25,cross_mask,0.875,0.6899632254489438,0.13087020731089738,0.12100418121607892,1.6433657728551756,0.8123255480750406,1.1184970949804067,0.4653194975423266,0.7351174221736756,0.2257655515977733,0.0054200285549786875,0.5716366284361916,0.1878754778809394,0.3286624203821656,0.3620755564125925,12000,1373,1374,5493,0.2,0.05,8,True,cross_mask,0,0.5780083742945568,0.747860913890406,0.747860913890406
scaffold,cross_mask,0.6000000000000001,0.831224497100723,0.04387426656379345,0.036946956620877436,1.1093268304892814,0.3351962446300221,0.6354674211003826,0.2923721099581285,0.793009284543965,0.08910358286868764,0.003833021294192084,0.356271618423448,0.16202439468414345,0.45477772100153296,0.26205907347693164,12000,1373,1374,5493,0.2,0.05,3,True,selected,0,0.7686146004005098,0.808119424722374,0.808119424722374
