condition,seed,arm,base_acc,d_acc,loss_gain,joint_harm,cond_harm,apply_rate
full,0,knn,0.9291666666666667,0.0008333333333333526,0.008983843562610611,0.0016666666666666668,0.0018231540565177757,0.9141666666666667
full,0,kernel,0.9291666666666667,0.0,0.005222687635548187,0.0,0.0,1.0
full,0,ridge,0.9291666666666667,-0.0008333333333333526,0.00850867909525784,0.0016666666666666668,0.0016891891891891893,0.9866666666666667
full,1,knn,0.9291666666666667,0.0008333333333333526,0.007646665981519448,0.0008333333333333334,0.000835421888053467,0.9975
full,1,kernel,0.9291666666666667,0.0,0.005222687635548187,0.0,0.0,1.0
full,1,ridge,0.9291666666666667,0.0,0.006180892940700948,0.0,0.0,1.0
full,2,knn,0.9291666666666667,0.0,0.0014199769558722812,0.0025,0.0030581039755351682,0.8175
full,2,kernel,0.9291666666666667,0.0,0.004454496934254269,0.0,0.0,1.0
full,2,ridge,0.9291666666666667,0.0,0.005913724707050195,0.0016666666666666668,0.0017421602787456446,0.9566666666666667
prot50,0,knn,0.9125,0.0,0.001714219895325822,0.0025,0.0035885167464114833,0.6966666666666667
prot50,0,kernel,0.9125,0.0,-0.0002469335254900316,0.0,0.0,0.9975
prot50,0,ridge,0.9125,0.0,-0.005741770791352469,0.0016666666666666668,0.002178649237472767,0.765
prot50,1,knn,0.9125,0.0,0.003235295470883543,0.0016666666666666668,0.0020964360587002098,0.795
prot50,1,kernel,0.9125,0.0,0.0011264737472153309,0.0,0.0,1.0
prot50,1,ridge,0.9125,0.0,0.0028572017223047227,0.0016666666666666668,0.0017421602787456446,0.9566666666666667
prot50,2,knn,0.9125,0.0,0.0015269462279124699,0.0016666666666666668,0.0021645021645021645,0.77
prot50,2,kernel,0.9125,0.0,-0.0002469335254900316,0.0,0.0,0.9975
prot50,2,ridge,0.9125,0.0,-0.00296997308769156,0.0008333333333333334,0.0009523809523809524,0.875
prot25,0,knn,0.8641666666666666,0.0008333333333333526,0.007094006680453345,0.013333333333333334,0.02295552367288379,0.5808333333333333
prot25,0,kernel,0.8641666666666666,0.0,0.005257238235087059,0.0,0.0,0.45666666666666667
prot25,0,ridge,0.8641666666666666,0.0,-0.0018235505540390592,0.0025,0.006060606060606061,0.4125
prot25,1,knn,0.8641666666666666,0.0,0.005965315676114109,0.005833333333333334,0.009549795361527967,0.6108333333333333
prot25,1,kernel,0.8641666666666666,0.0008333333333333526,0.017319097741751215,0.0,0.0,0.9908333333333333
prot25,1,ridge,0.8641666666666666,0.0008333333333333526,-0.0011273825522882678,0.0025,0.0054249547920434,0.4608333333333333
prot25,2,knn,0.8641666666666666,0.0,0.0049816714457498615,0.0033333333333333335,0.005788712011577424,0.5758333333333333
prot25,2,kernel,0.8641666666666666,0.0,0.005228773696359579,0.0,0.0,0.4558333333333333
prot25,2,ridge,0.8641666666666666,0.0008333333333333526,-0.0023682392667464837,0.0025,0.005917159763313609,0.4225
scaffold,0,knn,0.8608333333333333,0.016666666666666607,0.019677836514245144,0.02,0.035982008995502246,0.5558333333333333
scaffold,0,kernel,0.8608333333333333,0.0,0.00043607558087737714,0.0,0.0,0.18416666666666667
scaffold,0,ridge,0.8608333333333333,0.0,-0.00016081954688451994,0.004166666666666667,0.011160714285714286,0.37333333333333335
scaffold,1,knn,0.8608333333333333,0.015833333333333366,0.024141654072256314,0.024166666666666666,0.043219076005961254,0.5591666666666667
scaffold,1,kernel,0.8608333333333333,0.0,0.00043607558087737714,0.0,0.0,0.18416666666666667
scaffold,1,ridge,0.8608333333333333,0.0,-0.00012091451822429943,0.004166666666666667,0.011990407673860911,0.3475
scaffold,2,knn,0.8608333333333333,0.008333333333333304,0.009854415380187482,0.015,0.02821316614420063,0.5316666666666666
scaffold,2,kernel,0.8608333333333333,0.0,-0.0018989520491574825,0.0,0.0,0.14833333333333334
scaffold,2,ridge,0.8608333333333333,-0.0008333333333333526,-0.0027092518592266223,0.005,0.015503875968992248,0.3225
scaffold_prot50,0,knn,0.8416666666666667,0.026666666666666616,0.058898750164222684,0.0275,0.05221518987341772,0.5266666666666666
scaffold_prot50,0,kernel,0.8416666666666667,-0.0008333333333333526,-0.0011109603812043134,0.0,0.0,0.145
scaffold_prot50,0,ridge,0.8416666666666667,0.004166666666666652,0.008100436695353508,0.008333333333333333,0.024630541871921183,0.3383333333333333
scaffold_prot50,1,knn,0.8416666666666667,0.03416666666666668,0.09440231388255481,0.035833333333333335,0.0654490106544901,0.5475
scaffold_prot50,1,kernel,0.8416666666666667,-0.0008333333333333526,-0.0011109603812043134,0.0,0.0,0.145
scaffold_prot50,1,ridge,0.8416666666666667,0.005833333333333357,0.009311902608520602,0.008333333333333333,0.02457002457002457,0.33916666666666667
scaffold_prot50,2,knn,0.8416666666666667,0.021666666666666612,0.04163181085035952,0.019166666666666665,0.03820598006644518,0.5016666666666667
scaffold_prot50,2,kernel,0.8416666666666667,-0.0008333333333333526,-0.0008081493226019999,0.0,0.0,0.12
scaffold_prot50,2,ridge,0.8416666666666667,0.0033333333333332993,0.008526799954716915,0.008333333333333333,0.025839793281653745,0.3225
