condition,seed,arm,base_acc,d_acc,loss_gain,joint_harm,cond_harm,apply_rate
full,0,conformal gate,0.833060258510832,-0.00018204988166758973,0.04870983399587704,0.010194793373384307,0.03190883190883191,0.3194975423265975
full,0,selector:maxprob,0.833060258510832,0.0,0.116130685147948,0.12251957036227927,0.4066465256797583,0.3012925541598398
full,0,selector:margin,0.833060258510832,0.0,0.116130685147948,0.12251957036227927,0.4066465256797583,0.3012925541598398
full,0,selector:negentropy,0.833060258510832,0.0,0.116130685147948,0.12251957036227927,0.4066465256797583,0.3012925541598398
full,0,selector:agreement,0.833060258510832,0.00018204988166758973,0.048870612208669666,0.005279446568359731,0.017554479418886198,0.3007464045148371
full,0,selector:random,0.833060258510832,0.0014563990533406068,0.10707161682131976,0.1736755871108684,0.5543288785589774,0.3133078463498999
full,1,conformal gate,0.833060258510832,-0.0007281995266703589,0.04864014943980475,0.008738394320043691,0.02761795166858458,0.3164026943382487
full,1,selector:maxprob,0.833060258510832,0.0,0.11623630699419525,0.1214272710722738,0.40596469872185026,0.2991079555798289
full,1,selector:margin,0.833060258510832,0.0,0.11623630699419525,0.1214272710722738,0.40596469872185026,0.2991079555798289
full,1,selector:negentropy,0.833060258510832,0.0,0.11623630699419525,0.1214272710722738,0.40596469872185026,0.2991079555798289
full,1,selector:agreement,0.833060258510832,0.00018204988166758973,0.04410868740061393,0.005279446568359731,0.017978921264724116,0.2936464591298016
full,1,selector:random,0.833060258510832,0.0014563990533406068,0.10420333429237247,0.17221918805752776,0.5541886350322203,0.3107591480065538
full,2,conformal gate,0.833060258510832,0.00018204988166758973,0.04910695771990773,0.01237939195339523,0.038946162657502864,0.3178590933915893
full,2,selector:maxprob,0.833060258510832,0.0,0.11630456200449078,0.12488621882395777,0.4080904223676383,0.3060258510831968
full,2,selector:margin,0.833060258510832,0.0,0.11630456200449078,0.12488621882395777,0.4080904223676383,0.3060258510831968
full,2,selector:negentropy,0.833060258510832,0.0,0.11630456200449078,0.12488621882395777,0.4080904223676383,0.3060258510831968
full,2,selector:agreement,0.833060258510832,0.0,0.049512267966901766,0.006917895503367923,0.022809123649459785,0.3032951028581831
full,2,selector:random,0.833060258510832,0.0007281995266702479,0.10630417447571668,0.17531403604587656,0.5611888111888111,0.312397596941562
prot50,0,conformal gate,0.7221918805752776,0.06644820680866559,0.2580545821576389,0.06899690515201165,0.19317023445463813,0.3571818678317859
