dataset,protocol,pool,seed,condition,richer_fit,poorer_fit,met_fit,richer_conf,poorer_conf,met_conf,richer_test,poorer_test,met_test
biosnap,cluster,source,42,prot25,0.579934,0.520948,True,0.558986,0.490628,True,0.536935,0.501654,True
biosnap,cluster,source,42,scaffold,0.579934,0.576075,True,0.558986,0.551819,True,0.536935,0.579934,False
biosnap,cluster,source,42,scaffold_prot50,0.579934,0.509372,True,0.558986,0.488975,True,0.536935,0.495039,True
biosnap,cluster,deployment,42,prot50,0.599669,0.521092,True,0.54177,0.485525,True,0.536935,0.496141,True
biosnap,cluster,deployment,42,prot25,0.599669,0.523573,True,0.54177,0.476427,True,0.536935,0.501654,True
biosnap,cluster,deployment,42,scaffold,0.599669,0.579818,True,0.54177,0.534326,True,0.536935,0.579934,False
biosnap,cluster,deployment,42,scaffold_prot50,0.599669,0.510339,True,0.54177,0.478081,True,0.536935,0.495039,True
biosnap,random,source,1,prot50,0.81646,0.751639,True,0.856623,0.769287,True,0.82596,0.75041,True
biosnap,random,source,1,prot25,0.81646,0.562272,True,0.856623,0.563319,True,0.82596,0.578008,True
biosnap,random,source,1,scaffold,0.81646,0.761835,True,0.856623,0.786754,True,0.82596,0.768615,True
biosnap,random,source,1,scaffold_prot50,0.81646,0.672251,True,0.856623,0.689229,True,0.82596,0.674495,True
biosnap,random,deployment,1,prot50,0.830601,0.744262,True,0.859016,0.782514,True,0.82596,0.75041,True
biosnap,random,deployment,1,prot25,0.830601,0.545355,True,0.859016,0.57377,True,0.82596,0.578008,True
biosnap,random,deployment,1,scaffold,0.830601,0.782514,True,0.859016,0.784699,True,0.82596,0.768615,True
biosnap,random,deployment,1,scaffold_prot50,0.830601,0.681967,True,0.859016,0.692896,True,0.82596,0.674495,True
biosnap,random,source,2,prot50,0.831755,0.747997,True,0.8377,0.740902,True,0.828691,0.73803,True
biosnap,random,source,2,prot25,0.831755,0.580481,True,0.8377,0.590975,True,0.828691,0.584016,True
biosnap,random,source,2,scaffold,0.831755,0.760379,True,0.8377,0.784571,True,0.828691,0.748771,True
biosnap,random,source,2,scaffold_prot50,0.831755,0.683904,True,0.8377,0.700873,True,0.828691,0.677408,True
biosnap,random,deployment,2,prot50,0.838251,0.734426,True,0.845902,0.75847,True,0.828691,0.73803,True
biosnap,random,deployment,2,prot25,0.838251,0.596721,True,0.845902,0.597814,True,0.828691,0.584016,True
biosnap,random,deployment,2,scaffold,0.838251,0.777049,True,0.845902,0.787978,True,0.828691,0.748771,True
biosnap,random,deployment,2,scaffold_prot50,0.838251,0.673224,True,0.845902,0.728962,True,0.828691,0.677408,True
biosnap,random,source,42,prot50,0.847779,0.72469,True,0.828239,0.726346,True,0.83306,0.722192,True
biosnap,random,source,42,prot25,0.847779,0.546249,True,0.828239,0.546579,True,0.83306,0.551429,True
biosnap,random,source,42,scaffold,0.847779,0.764749,True,0.828239,0.737991,True,0.83306,0.745312,True
biosnap,random,source,42,scaffold_prot50,0.847779,0.685361,True,0.828239,0.66885,True,0.83306,0.673038,True
biosnap,random,deployment,42,prot50,0.837158,0.720219,True,0.830601,0.733333,True,0.83306,0.722192,True
biosnap,random,deployment,42,prot25,0.837158,0.545355,True,0.830601,0.555191,True,0.83306,0.551429,True
biosnap,random,deployment,42,scaffold,0.837158,0.75082,True,0.830601,0.742077,True,0.83306,0.745312,True
biosnap,random,deployment,42,scaffold_prot50,0.837158,0.67541,True,0.830601,0.680874,True,0.83306,0.673038,True
human,random,source,1,prot50,0.956667,0.943333,True,0.923333,0.916667,True,0.938333,0.926667,True
human,random,source,1,prot25,0.956667,0.89,True,0.923333,0.876667,True,0.938333,0.87,True
human,random,source,1,scaffold,0.956667,0.89,True,0.923333,0.873333,True,0.938333,0.890833,True
human,random,source,1,scaffold_prot50,0.956667,0.866667,True,0.923333,0.84,True,0.938333,0.8825,True
human,random,deployment,1,prot50,0.97,0.945,True,0.895,0.905,False,0.938333,0.926667,True
human,random,deployment,1,prot25,0.97,0.86,True,0.895,0.88,True,0.938333,0.87,True
human,random,deployment,1,scaffold,0.97,0.9,True,0.895,0.86,True,0.938333,0.890833,True
human,random,deployment,1,scaffold_prot50,0.97,0.88,True,0.895,0.83,True,0.938333,0.8825,True
human,random,source,2,prot50,0.913333,0.916667,False,0.926667,0.916667,True,0.924167,0.9075,True
human,random,source,2,prot25,0.913333,0.863333,True,0.926667,0.896667,True,0.924167,0.874167,True
human,random,source,2,scaffold,0.913333,0.826667,True,0.926667,0.87,True,0.924167,0.8775,True
human,random,source,2,scaffold_prot50,0.913333,0.81,True,0.926667,0.846667,True,0.924167,0.858333,True
human,random,deployment,2,prot50,0.94,0.93,True,0.915,0.915,False,0.924167,0.9075,True
human,random,deployment,2,prot25,0.94,0.885,True,0.915,0.895,True,0.924167,0.874167,True
human,random,deployment,2,scaffold,0.94,0.88,True,0.915,0.85,True,0.924167,0.8775,True
human,random,deployment,2,scaffold_prot50,0.94,0.86,True,0.915,0.825,True,0.924167,0.858333,True
human,random,source,42,prot50,0.93,0.926667,True,0.95,0.92,True,0.929167,0.9125,True
human,random,source,42,prot25,0.93,0.87,True,0.95,0.89,True,0.929167,0.864167,True
human,random,source,42,scaffold,0.93,0.876667,True,0.95,0.823333,True,0.929167,0.860833,True
human,random,source,42,scaffold_prot50,0.93,0.843333,True,0.95,0.806667,True,0.929167,0.841667,True
human,random,deployment,42,prot50,0.915,0.91,True,0.945,0.91,True,0.929167,0.9125,True
human,random,deployment,42,prot25,0.915,0.87,True,0.945,0.86,True,0.929167,0.864167,True
human,random,deployment,42,scaffold,0.915,0.825,True,0.945,0.805,True,0.929167,0.860833,True
human,random,deployment,42,scaffold_prot50,0.915,0.83,True,0.945,0.77,True,0.929167,0.841667,True
