family,dataset,condition,target,seed,exchangeable,alpha,apply_rate,joint_harm,acc_gain,blanket_joint_harm,blanket_acc_gain
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,0,False,0.05,0.1915450804339693,0.01122334455667789,0.15619878603133952,0.21735877291432848,0.28886677968200203
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,0,False,0.1,0.2757201646090535,0.013468013468013467,0.23706576835832105,0.21735877291432848,0.28886677968200203
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,0,False,0.2,0.7205387205387206,0.0411522633744856,0.27954977146860005,0.21735877291432848,0.28886677968200203
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,0,False,0.3,0.8728020950243173,0.15039281705948374,0.2834410860469938,0.21735877291432848,0.28886677968200203
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,0,False,0.5,0.9670781893004116,0.20014964459408904,0.2891585855894949,0.21735877291432848,0.28886677968200203
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,1,False,0.05,0.09689487467265245,0.00411522633744856,0.025572655013999024,0.1335578002244669,0.40444850643196567
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,1,False,0.1,0.47362514029180697,0.017957351290684626,0.12346061942149827,0.1335578002244669,0.40444850643196567
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,1,False,0.2,0.8713056490834269,0.06172839506172839,0.3929303138533628,0.1335578002244669,0.40444850643196567
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,1,False,0.3,0.9551066217732884,0.10624766180321736,0.40444850643196567,0.1335578002244669,0.40444850643196567
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,1,False,0.5,0.9551066217732884,0.10624766180321736,0.40444850643196567,0.1335578002244669,0.40444850643196567
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,2,False,0.05,0.19715675271230826,0.010101010101010102,0.1539866740520377,0.13617658062102506,0.37367154968059546
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,2,False,0.1,0.35129068462401797,0.01945379723157501,0.2801925861029372,0.13617658062102506,0.37367154968059546
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,2,False,0.2,0.8170594837261503,0.04751215862326973,0.35136742532105514,0.13617658062102506,0.37367154968059546
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,2,False,0.3,0.8802843247287692,0.06397306397306397,0.37353474165791123,0.13617658062102506,0.37367154968059546
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,2,False,0.5,0.9760568649457538,0.12682379349046016,0.37290693461753066,0.13617658062102506,0.37367154968059546
opportunity,opportunity_cross_subject,no_imu_family,hard,0,False,0.05,0.15039281705948374,0.008978675645342313,0.06952523110048187,0.16535727646838758,0.40140579776148727
opportunity,opportunity_cross_subject,no_imu_family,hard,0,False,0.1,0.5697717919940142,0.029928918817807706,0.19085387903309342,0.16535727646838758,0.40140579776148727
opportunity,opportunity_cross_subject,no_imu_family,hard,0,False,0.2,0.8260381593714927,0.053497942386831275,0.39958835957741595,0.16535727646838758,0.40140579776148727
opportunity,opportunity_cross_subject,no_imu_family,hard,0,False,0.3,0.897119341563786,0.09502431724653947,0.4002673254717886,0.16535727646838758,0.40140579776148727
opportunity,opportunity_cross_subject,no_imu_family,hard,0,False,0.5,0.9532360643471754,0.13842124953236065,0.40026724845512623,0.16535727646838758,0.40140579776148727
opportunity,opportunity_cross_subject,no_imu_family,hard,1,False,0.05,0.3464272353161242,0.019079685746352413,0.31168098891044893,0.1421623643845866,0.39798731158076106
opportunity,opportunity_cross_subject,no_imu_family,hard,1,False,0.1,0.3482977927422372,0.019079685746352413,0.3139595591887816,0.1421623643845866,0.39798731158076106
opportunity,opportunity_cross_subject,no_imu_family,hard,1,False,0.2,0.8559670781893004,0.052375607931163484,0.38945919290239184,0.1421623643845866,0.39798731158076106
opportunity,opportunity_cross_subject,no_imu_family,hard,1,False,0.3,0.9068462401795735,0.07295173961840629,0.40011203924327143,0.1421623643845866,0.39798731158076106
opportunity,opportunity_cross_subject,no_imu_family,hard,1,False,0.5,0.9775533108866442,0.12682379349046016,0.3983438433532547,0.1421623643845866,0.39798731158076106
opportunity,opportunity_cross_subject,no_imu_family,hard,2,False,0.05,0.3445566778900112,0.017957351290684626,0.35296795176078083,0.1717171717171717,0.41306119836648253
opportunity,opportunity_cross_subject,no_imu_family,hard,2,False,0.1,0.3445566778900112,0.017957351290684626,0.35296795176078083,0.1717171717171717,0.41306119836648253
opportunity,opportunity_cross_subject,no_imu_family,hard,2,False,0.2,0.8484848484848485,0.06434717545828657,0.4143439688725033,0.1717171717171717,0.41306119836648253
opportunity,opportunity_cross_subject,no_imu_family,hard,2,False,0.3,0.93228582117471,0.12420501309390199,0.41306119836648253,0.1717171717171717,0.41306119836648253
opportunity,opportunity_cross_subject,no_imu_family,hard,2,False,0.5,0.9824167601945379,0.1634867190422746,0.41306119836648253,0.1717171717171717,0.41306119836648253
opportunity,opportunity_cross_subject,no_shoes,hard,0,False,0.05,0.20127197904975683,0.009726898615787506,0.13381109824837312,0.14627759072203517,0.2670748147077806
opportunity,opportunity_cross_subject,no_shoes,hard,0,False,0.1,0.26000748222970443,0.013468013468013467,0.18563262531720037,0.14627759072203517,0.2670748147077806
opportunity,opportunity_cross_subject,no_shoes,hard,0,False,0.2,0.8454919566030678,0.03928170594837262,0.2636630483248513,0.14627759072203517,0.2670748147077806
opportunity,opportunity_cross_subject,no_shoes,hard,0,False,0.3,0.8716797605686495,0.051627384960718295,0.26578655623507275,0.14627759072203517,0.2670748147077806
opportunity,opportunity_cross_subject,no_shoes,hard,0,False,0.5,0.9307893752338197,0.09689487467265245,0.2670748147077806,0.14627759072203517,0.2670748147077806
