family,dataset,condition,seed,exchangeable,alpha,target,apply_rate,joint_harm,acc_gain,blanket_joint_harm,blanket_acc_gain
ave,ave,eta0.2,0,True,0.05,hard,0.1328358208955224,0.03731343283582089,0.04104477611940294,0.4380597014925373,0.045522388059701435
ave,ave,eta0.2,0,True,0.1,hard,0.21865671641791046,0.07761194029850746,0.04477611940298498,0.4380597014925373,0.045522388059701435
ave,ave,eta0.2,0,True,0.2,hard,0.3932835820895522,0.15895522388059702,0.045522388059701435,0.4380597014925373,0.045522388059701435
ave,ave,eta0.2,0,True,0.3,hard,0.5582089552238806,0.24850746268656718,0.045522388059701435,0.4380597014925373,0.045522388059701435
ave,ave,eta0.2,0,True,0.5,hard,0.7902985074626866,0.41492537313432837,0.045522388059701435,0.4380597014925373,0.045522388059701435
ave,ave,eta0.2,1,True,0.05,hard,0.11791044776119403,0.04029850746268657,0.026119402985074647,0.4626865671641791,0.0268656716417911
ave,ave,eta0.2,1,True,0.1,hard,0.1798507462686567,0.06194029850746269,0.023880597014925398,0.4626865671641791,0.0268656716417911
ave,ave,eta0.2,1,True,0.2,hard,0.38656716417910447,0.17164179104477612,0.0268656716417911,0.4626865671641791,0.0268656716417911
ave,ave,eta0.2,1,True,0.3,hard,0.5111940298507462,0.24477611940298508,0.0268656716417911,0.4626865671641791,0.0268656716417911
ave,ave,eta0.2,1,True,0.5,hard,0.8313432835820895,0.4544776119402985,0.0268656716417911,0.4626865671641791,0.0268656716417911
ave,ave,eta0.2,2,True,0.05,hard,0.12985074626865672,0.048507462686567165,0.016417910447761197,0.47686567164179106,0.0194029850746269
ave,ave,eta0.2,2,True,0.1,hard,0.21343283582089553,0.08656716417910448,0.020149253731343353,0.47686567164179106,0.0194029850746269
ave,ave,eta0.2,2,True,0.2,hard,0.3522388059701492,0.1582089552238806,0.0194029850746269,0.47686567164179106,0.0194029850746269
ave,ave,eta0.2,2,True,0.3,hard,0.4962686567164179,0.23955223880597015,0.0194029850746269,0.47686567164179106,0.0194029850746269
ave,ave,eta0.2,2,True,0.5,hard,0.8149253731343283,0.4708955223880597,0.0194029850746269,0.47686567164179106,0.0194029850746269
ave,ave,eta0.4,0,True,0.05,hard,0.14328358208955225,0.03283582089552239,0.07611940298507458,0.4171641791044776,0.08507462686567169
ave,ave,eta0.4,0,True,0.1,hard,0.30895522388059704,0.09328358208955224,0.08358208955223878,0.4171641791044776,0.08507462686567169
ave,ave,eta0.4,0,True,0.2,hard,0.45,0.1537313432835821,0.08507462686567169,0.4171641791044776,0.08507462686567169
ave,ave,eta0.4,0,True,0.3,hard,0.7746268656716417,0.24925373134328357,0.08507462686567169,0.4171641791044776,0.08507462686567169
ave,ave,eta0.4,0,True,0.5,hard,0.9350746268656717,0.367910447761194,0.08507462686567169,0.4171641791044776,0.08507462686567169
ave,ave,eta0.4,1,True,0.05,hard,0.14253731343283582,0.041791044776119404,0.057462686567164134,0.4507462686567164,0.06940298507462683
ave,ave,eta0.4,1,True,0.1,hard,0.24477611940298508,0.08432835820895522,0.06492537313432833,0.4507462686567164,0.06940298507462683
ave,ave,eta0.4,1,True,0.2,hard,0.4552238805970149,0.18208955223880596,0.06865671641791038,0.4507462686567164,0.06940298507462683
ave,ave,eta0.4,1,True,0.3,hard,0.6022388059701492,0.2574626865671642,0.06940298507462683,0.4507462686567164,0.06940298507462683
ave,ave,eta0.4,1,True,0.5,hard,0.8395522388059702,0.4298507462686567,0.06940298507462683,0.4507462686567164,0.06940298507462683
ave,ave,eta0.4,2,True,0.05,hard,0.17238805970149254,0.049253731343283584,0.0626865671641792,0.45,0.07164179104477619
ave,ave,eta0.4,2,True,0.1,hard,0.2828358208955224,0.09850746268656717,0.06865671641791049,0.45,0.07164179104477619
