condition,seed,arm,base_acc,d_acc,loss_gain,joint_harm,cond_harm,apply_rate
full,0,conformal gate,0.9291666666666667,0.0008333333333333526,0.008983843562610611,0.0016666666666666668,0.0018231540565177757,0.9141666666666667
full,0,selector:maxprob,0.9291666666666667,0.0,0.009422480795573408,0.03916666666666667,0.04368029739776952,0.8966666666666666
full,0,selector:margin,0.9291666666666667,0.0,0.009422480795573408,0.03916666666666667,0.04368029739776952,0.8966666666666666
full,0,selector:negentropy,0.9291666666666667,0.0,0.009422480795573408,0.03916666666666667,0.04368029739776952,0.8966666666666666
full,0,selector:agreement,0.9291666666666667,0.0016666666666665941,0.004331216713536906,0.0125,0.01403180542563143,0.8908333333333334
full,0,selector:random,0.9291666666666667,0.0008333333333333526,0.00884042859335957,0.056666666666666664,0.061650045330915684,0.9191666666666667
full,1,conformal gate,0.9291666666666667,0.0008333333333333526,0.007646665981519448,0.0008333333333333334,0.000835421888053467,0.9975
full,1,selector:maxprob,0.9291666666666667,0.0,0.007834703018487932,0.0016666666666666668,0.0016750418760469012,0.995
full,1,selector:margin,0.9291666666666667,0.0,0.007834703018487932,0.0016666666666666668,0.0016750418760469012,0.995
full,1,selector:negentropy,0.9291666666666667,0.0,0.007834703018487932,0.0016666666666666668,0.0016750418760469012,0.995
full,1,selector:agreement,0.9291666666666667,0.0008333333333333526,0.00793616627767737,0.0016666666666666668,0.0016906170752324597,0.9858333333333333
full,1,selector:random,0.9291666666666667,0.0008333333333333526,0.00788357669464246,0.0016666666666666668,0.0016722408026755853,0.9966666666666667
full,2,conformal gate,0.9291666666666667,0.0,0.0014199769558722812,0.0025,0.0030581039755351682,0.8175
full,2,selector:maxprob,0.9291666666666667,0.0,0.005005812009462885,0.07416666666666667,0.09175257731958762,0.8083333333333333
full,2,selector:margin,0.9291666666666667,0.0,0.005005812009462885,0.07416666666666667,0.09175257731958762,0.8083333333333333
full,2,selector:negentropy,0.9291666666666667,0.0,0.005005812009462885,0.07416666666666667,0.09175257731958762,0.8083333333333333
full,2,selector:agreement,0.9291666666666667,0.0008333333333333526,0.001158463291587389,0.011666666666666667,0.014675052410901468,0.795
full,2,selector:random,0.9291666666666667,-0.0008333333333333526,0.008719946754545946,0.1125,0.13903192584963955,0.8091666666666667
prot50,0,conformal gate,0.9125,0.0,0.001714219895325822,0.0025,0.0035885167464114833,0.6966666666666667
prot50,0,selector:maxprob,0.9125,0.0,-0.005798526315803654,0.11583333333333333,0.17118226600985223,0.6766666666666666
prot50,0,selector:margin,0.9125,0.0,-0.005798526315803654,0.11583333333333333,0.17118226600985223,0.6766666666666666
prot50,0,selector:negentropy,0.9125,0.0,-0.005798526315803654,0.11583333333333333,0.17118226600985223,0.6766666666666666
prot50,0,selector:agreement,0.9125,-0.0008333333333333526,0.0017471738582660317,0.005833333333333334,0.00849514563106796,0.6866666666666666
prot50,0,selector:random,0.9125,0.0016666666666667052,0.006902243071785854,0.14083333333333334,0.21338383838383837,0.66
prot50,1,conformal gate,0.9125,0.0,0.003235295470883543,0.0016666666666666668,0.0020964360587002098,0.795
prot50,1,selector:maxprob,0.9125,0.0,0.0030332701543358733,0.09,0.11550802139037433,0.7791666666666667
prot50,1,selector:margin,0.9125,0.0,0.0030332701543358733,0.09,0.11550802139037433,0.7791666666666667
prot50,1,selector:negentropy,0.9125,0.0,0.0030332701543358733,0.09,0.11550802139037433,0.7791666666666667
prot50,1,selector:agreement,0.9125,-0.0008333333333333526,0.0022476203646999092,0.01,0.012474012474012475,0.8016666666666666
prot50,1,selector:random,0.9125,0.0008333333333333526,0.007991116125836757,0.1075,0.13782051282051283,0.78
prot50,2,conformal gate,0.9125,0.0,0.0015269462279124699,0.0016666666666666668,0.0021645021645021645,0.77
prot50,2,selector:maxprob,0.9125,0.0,0.0007920005778064254,0.08083333333333333,0.1118800461361015,0.7225
prot50,2,selector:margin,0.9125,0.0,0.0007920005778064254,0.08083333333333333,0.1118800461361015,0.7225
prot50,2,selector:negentropy,0.9125,0.0,0.0007920005778064254,0.08083333333333333,0.1118800461361015,0.7225
prot50,2,selector:agreement,0.9125,0.0,0.002422047284775275,0.005833333333333334,0.007874015748031496,0.7408333333333333
prot50,2,selector:random,0.9125,0.0008333333333333526,0.007133169462437468,0.11666666666666667,0.15659955257270694,0.745
prot25,0,conformal gate,0.8641666666666666,0.0008333333333333526,0.007094006680453345,0.013333333333333334,0.02295552367288379,0.5808333333333333
prot25,0,selector:maxprob,0.8641666666666666,0.0,0.016264976017510376,0.16083333333333333,0.2741477272727273,0.5866666666666667
prot25,0,selector:margin,0.8641666666666666,0.0,0.016264976017510376,0.16083333333333333,0.2741477272727273,0.5866666666666667
prot25,0,selector:negentropy,0.8641666666666666,0.0,0.016264976017510376,0.16083333333333333,0.2741477272727273,0.5866666666666667
prot25,0,selector:agreement,0.8641666666666666,0.0008333333333333526,0.004211852703449814,0.06916666666666667,0.11216216216216217,0.6166666666666667
