host,mask,seed,cls,n_test_cls,n_applied_cls,joint_harm_cls,cond_harm_cls,joint_harm_overall
momke_iemocap4,atv,2,3,72,2,0.0,0.0,0.0
tmdc_iemocap4,a,0,0,84,29,0.035714,0.103448,0.01385
tmdc_iemocap4,a,0,1,68,49,0.0,0.0,0.01385
tmdc_iemocap4,a,0,2,132,57,0.007576,0.017544,0.01385
tmdc_iemocap4,a,0,3,77,19,0.012987,0.052632,0.01385
tmdc_iemocap4,a,1,0,102,30,0.009804,0.033333,0.01108
tmdc_iemocap4,a,1,1,65,40,0.0,0.0,0.01108
tmdc_iemocap4,a,1,2,118,51,0.025424,0.058824,0.01108
tmdc_iemocap4,a,1,3,76,16,0.0,0.0,0.01108
tmdc_iemocap4,a,2,0,85,18,0.011765,0.055556,0.01662
tmdc_iemocap4,a,2,1,69,36,0.0,0.0,0.01662
tmdc_iemocap4,a,2,2,135,32,0.037037,0.15625,0.01662
tmdc_iemocap4,a,2,3,72,11,0.0,0.0,0.01662
tmdc_iemocap4,v,0,0,84,20,0.0,0.0,0.00277
tmdc_iemocap4,v,0,1,68,1,0.0,0.0,0.00277
tmdc_iemocap4,v,0,2,132,6,0.007576,0.166667,0.00277
tmdc_iemocap4,v,0,3,77,5,0.0,0.0,0.00277
tmdc_iemocap4,v,1,0,102,26,0.0,0.0,0.00277
tmdc_iemocap4,v,1,1,65,0,0.0,0.0,0.00277
tmdc_iemocap4,v,1,2,118,2,0.008475,0.5,0.00277
tmdc_iemocap4,v,1,3,76,2,0.0,0.0,0.00277
tmdc_iemocap4,v,2,0,85,18,0.0,0.0,0.00554
tmdc_iemocap4,v,2,1,69,2,0.0,0.0,0.00554
tmdc_iemocap4,v,2,2,135,6,0.007407,0.166667,0.00554
tmdc_iemocap4,v,2,3,72,2,0.013889,0.5,0.00554
tmdc_iemocap4,t,0,0,84,1,0.0,0.0,0.0
tmdc_iemocap4,t,0,1,68,0,0.0,0.0,0.0
tmdc_iemocap4,t,0,2,132,3,0.0,0.0,0.0
tmdc_iemocap4,t,0,3,77,1,0.0,0.0,0.0
tmdc_iemocap4,t,1,0,102,1,0.0,0.0,0.00277
tmdc_iemocap4,t,1,1,65,2,0.015385,0.5,0.00277
tmdc_iemocap4,t,1,2,118,2,0.0,0.0,0.00277
tmdc_iemocap4,t,1,3,76,0,0.0,0.0,0.00277
tmdc_iemocap4,t,2,0,85,2,0.0,0.0,0.00277
tmdc_iemocap4,t,2,1,69,2,0.014493,0.5,0.00277
tmdc_iemocap4,t,2,2,135,1,0.0,0.0,0.00277
tmdc_iemocap4,t,2,3,72,0,0.0,0.0,0.00277
tmdc_iemocap4,av,0,0,84,84,0.0,0.0,0.0
tmdc_iemocap4,av,0,1,68,68,0.0,0.0,0.0
tmdc_iemocap4,av,0,2,132,132,0.0,0.0,0.0
tmdc_iemocap4,av,0,3,77,77,0.0,0.0,0.0
tmdc_iemocap4,av,1,0,102,94,0.0,0.0,0.00554
tmdc_iemocap4,av,1,1,65,60,0.0,0.0,0.00554
tmdc_iemocap4,av,1,2,118,104,0.016949,0.019231,0.00554
tmdc_iemocap4,av,1,3,76,69,0.0,0.0,0.00554
tmdc_iemocap4,av,2,0,85,82,0.0,0.0,0.0
tmdc_iemocap4,av,2,1,69,58,0.0,0.0,0.0
tmdc_iemocap4,av,2,2,135,116,0.0,0.0,0.0
