condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,threshold,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,policy,seed,base_accuracy,gate_accuracy,blanket_accuracy
full,hard,0.6000000000000001,0.5904891568608382,0.06436837498784409,0.037474472430224726,0.7018422276489573,0.016963790943089013,0.04051734589540398,0.35611907386990077,0.6030871003307607,0.060544272393007526,0.008573444918148973,0.3472987872105843,0.10694597574421169,0.30793650793650795,0.6428542791320806,1209,1209,1209,907,0.2,0.05,8,True,selected,0,0.5369349503858876,0.5733186328555678,0.6130099228224918
full,hard,0.6000000000000001,0.5904891568608382,0.06436837498784409,0.037474472430224726,0.7018422276489573,0.016963790943089013,0.04051734589540398,0.35611907386990077,0.6030871003307607,0.060544272393007526,0.008573444918148973,0.3472987872105843,0.10694597574421169,0.30793650793650795,0.6428542791320806,1209,1209,1209,907,0.2,0.05,8,True,hard,0,0.5369349503858876,0.5733186328555678,0.6130099228224918
full,cross_mask,0.75,0.5904891568608382,0.007303316152873718,0.0069434989788972334,0.7018422276489573,0.0011504820748647951,0.002591744204022372,0.22932745314222713,0.5424476295479603,0.07374818331403069,0.008470289418232049,0.06063947078280044,0.022050716648291068,0.36363636363636365,0.6240639050374154,1209,1209,1209,907,0.2,0.05,3,True,cross_mask,0,0.5369349503858876,0.5424476295479603,0.5468577728776185
prot50,hard,0.775,0.552601380919965,0.09385879607118541,0.0777059223961879,0.9239663740198469,0.12839923480065465,0.24789839206394143,0.43439911797133407,0.6141124586549063,0.1418126656422412,0.0112055144085044,0.4388092613009923,0.16538037486218302,0.3768844221105528,0.5048364170063364,1209,1209,1209,907,0.2,0.05,12,True,selected,0,0.4961411245865491,0.5942668136714443,0.607497243660419
prot50,hard,0.775,0.552601380919965,0.09385879607118541,0.0777059223961879,0.9239663740198469,0.12839923480065465,0.24789839206394143,0.43439911797133407,0.6141124586549063,0.1418126656422412,0.0112055144085044,0.4388092613009923,0.16538037486218302,0.3768844221105528,0.5048364170063364,1209,1209,1209,907,0.2,0.05,12,True,hard,0,0.4961411245865491,0.5942668136714443,0.607497243660419
prot50,cross_mask,0.9750000000000001,0.552601380919965,0.05002917436545751,0.042322279490421,0.9239663740198469,0.06457192969611851,0.1575797358506427,0.41675854465270123,0.5424476295479603,0.1333147333656577,0.011104568152215026,0.39029768467475195,0.15986769570011025,0.4096045197740113,0.5619767570780124,1209,1209,1209,907,0.2,0.05,3,True,cross_mask,0,0.4961411245865491,0.5435501653803748,0.5446527012127894
prot25,hard,0.8,0.541870076825829,0.09050374404356709,0.0728532529417486,1.1229233652871953,0.2572058671141303,0.43536146632732486,0.47519294377067256,0.6030871003307607,0.1941609299357891,0.012546341784185327,0.4310915104740904,0.16207276736493936,0.37595907928388744,0.4958093489379671,1209,1209,1209,907,0.2,0.05,12,True,selected,0,0.5016538037486218,0.6030871003307607,0.6052921719955898
prot25,hard,0.8,0.541870076825829,0.09050374404356709,0.0728532529417486,1.1229233652871953,0.2572058671141303,0.43536146632732486,0.47519294377067256,0.6030871003307607,0.1941609299357891,0.012546341784185327,0.4310915104740904,0.16207276736493936,0.37595907928388744,0.4958093489379671,1209,1209,1209,907,0.2,0.05,12,True,hard,0,0.5016538037486218,0.6030871003307607,0.6052921719955898
prot25,cross_mask,1.0,0.541870076825829,0.054799183117767214,0.043250996790819896,0.8170860662393757,0.05970865145111663,0.11307704555496584,0.4531422271223815,0.5413450937155457,0.10786010338329616,0.010220834178222404,0.40352811466372657,0.16758544652701213,0.41530054644808745,0.5307303292468506,1209,1209,1209,907,0.2,0.05,3,True,cross_mask,0,0.5016538037486218,0.5468577728776185,0.5413450937155457
scaffold,hard,0.42500000000000004,0.6103812117086453,0.08298648254400465,0.05633569969853158,0.6895062897752359,0.034004630763516806,0.05390411582584669,0.30429988974641675,0.6527012127894156,0.06502570085282691,0.008315729683305548,0.412348401323043,0.11245865490628446,0.2727272727272727,0.6127193084125057,1209,1209,1209,907,0.2,0.05,3,True,selected,0,0.5799338478500551,0.6306504961411246,0.6515986769570011
scaffold,hard,0.42500000000000004,0.6103812117086453,0.08298648254400465,0.05633569969853158,0.6895062897752359,0.034004630763516806,0.05390411582584669,0.30429988974641675,0.6527012127894156,0.06502570085282691,0.008315729683305548,0.412348401323043,0.11245865490628446,0.2727272727272727,0.6127193084125057,1209,1209,1209,907,0.2,0.05,3,True,hard,0,0.5799338478500551,0.6306504961411246,0.6515986769570011
scaffold,cross_mask,0.7000000000000001,0.6103812117086453,0.008018088106583665,0.0,0.7355151774378571,0.0,0.0220574230259007,0.38919514884233736,0.5270121278941565,0.08066691921746359,0.009200771383903007,0.0,0.0,0.0,0.5539303145954192,1209,1209,1209,907,0.2,0.05,35,True,cross_mask,0,0.5799338478500551,0.5799338478500551,0.5413450937155457
