condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,q_hat,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,seed
low_cost_accels_only,hard,0.675,0.5854000935891437,0.10856340664482922,0.1104351895180159,0.9254153331365238,0.13087419743561088,0.1967820355222846,0.45671502105755735,0.6635470285446888,0.19784215354311457,0.005714808144574657,0.43706130088909684,0.07112774918109499,0.16274089935760172,0.63285196154356,400,400,400,2137,0.2,0.05,50,True,0
low_cost_accels_only,cross_mask,0.0,0.5854000935891437,0.0,0.0,0.9254153331365238,0.0,0.0,0.0,0.42302292934019653,0.19784215354311457,0.005714808144574657,1.0,0.0,0.0,0.7748390674218535,400,400,400,2137,0.2,0.05,50,True,0
no_shoes,hard,0.42500000000000004,0.6626111371080955,0.0346279831539541,0.013570425830603638,0.8242038051033295,0.022411923046041247,0.14095283806007283,0.47730463266261114,0.6958352831071596,0.17584458262205413,0.0059019529265309295,0.2798315395414132,0.020589611605053813,0.07357859531772576,0.6802425274853781,400,400,400,2137,0.2,0.05,50,True,0
no_shoes,cross_mask,0.0,0.6626111371080955,0.0,0.0,0.8242038051033295,0.0,0.0,0.0,0.42489471221338326,0.17584458262205413,0.0059019529265309295,1.0,0.0,0.0,0.7623511758446693,400,400,400,2137,0.2,0.05,50,True,0
no_imu_family,hard,1.0,0.4319138979878334,0.20870379036031816,0.20449227889564814,2.0914065078321897,0.9063074450685281,1.3091323980416383,0.3692091717360786,0.6406176883481516,0.3522148136543519,0.007972348925384095,0.5147402901263454,0.06364061768834815,0.12363636363636364,0.7,400,400,400,2137,0.2,0.05,50,True,0
no_imu_family,cross_mask,0.7250000000000001,0.4319138979878334,0.0496022461394478,0.0,2.0914065078321897,0.0873270031593745,0.43946731054366117,0.4656059897051942,0.47075339260645765,0.3522148136543519,0.007972348925384095,0.11651848385587271,0.006083294337856809,0.05220883534136546,0.957271489631172,400,400,400,2137,0.2,0.05,50,True,0
severe_three_sensors,hard,0.75,0.6050538137576041,0.13991576977070652,0.11464670098268603,1.038916455040971,0.2512281615908672,0.29233590505054297,0.4183434721572298,0.6827328029948526,0.19711445153466886,0.006064092900985089,0.5011698642957417,0.0627047262517548,0.12511671335200747,0.651480240799277,400,400,400,2137,0.2,0.05,50,True,0
severe_three_sensors,cross_mask,0.0,0.6050538137576041,0.0,0.0,1.038916455040971,0.0,0.0,0.0,0.35189518015910154,0.19711445153466886,0.006064092900985089,1.0,0.0,0.0,0.8740629911795258,400,400,400,2137,0.2,0.05,50,True,0
low_cost_accels_only,hard,0.5750000000000001,0.6162845109967244,0.028076743097800616,0.005147402901263365,0.9395097920521248,0.018894603707977974,0.16197137938039016,0.49368273280299485,0.6027140851661207,0.19191671754928927,0.006148976065467352,0.18203088441740758,0.012634534394010294,0.06940874035989718,0.7472371906786783,400,400,400,2137,0.2,0.05,50,True,1
low_cost_accels_only,cross_mask,0.05,0.6162845109967244,0.0023397285914833477,0.0023397285914833477,0.9395097920521248,0.006805305355995781,0.006805305355995781,0.0,0.4220870379036032,0.19191671754928927,0.006148976065467352,1.0,0.0,0.0,0.8323233864461235,400,400,400,2137,0.2,0.05,50,True,1
