condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,threshold,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,policy,seed,base_accuracy,gate_accuracy,blanket_accuracy
full,hard,0.25,0.9627427196245115,0.0015836703605566216,0.0003464139230684449,0.26187075232695123,0.016002581120629338,0.023429773994074254,0.23780487804878048,0.8746951219512196,0.02326822781347898,0.001992439411047469,0.8769308943089431,0.12865853658536586,0.1467145671572604,0.08777355900494349,12000,2460,2460,9840,0.2,0.05,12,True,selected,0,0.9053861788617886,0.9073170731707317,0.9073170731707317
full,hard,0.25,0.9627427196245115,0.0015836703605566216,0.0003464139230684449,0.26187075232695123,0.016002581120629338,0.023429773994074254,0.23780487804878048,0.8746951219512196,0.02326822781347898,0.001992439411047469,0.8769308943089431,0.12865853658536586,0.1467145671572604,0.08777355900494349,12000,2460,2460,9840,0.2,0.05,12,True,hard,0,0.9053861788617886,0.9073170731707317,0.9073170731707317
full,cross_mask,0.30000000000000004,0.9627427196245115,0.0016657667354429417,0.0013217154511124818,0.26187075232695123,0.01990079464557712,0.024303952858161726,0.20934959349593496,0.8794715447154472,0.021857547792799505,0.0019645342110412717,0.9342479674796748,0.14878048780487804,0.15925160448167083,0.082071191400756,12000,2460,2460,9840,0.2,0.05,5,True,cross_mask,0,0.9053861788617886,0.9074186991869919,0.9074186991869919
prot50,hard,0.65,0.9043889058317757,0.036096181788491166,0.02880810111787302,0.4149084370463126,0.08311938125172809,0.0971419848875782,0.31341463414634146,0.8579268292682927,0.0632382583889985,0.0026853417970348356,0.7181910569105691,0.09308943089430895,0.1296165275222867,0.47131993721567833,12000,2460,2460,9840,0.2,0.05,8,True,selected,0,0.8255081300813009,0.8778455284552845,0.8779471544715447
prot50,hard,0.65,0.9043889058317757,0.036096181788491166,0.02880810111787302,0.4149084370463126,0.08311938125172809,0.0971419848875782,0.31341463414634146,0.8579268292682927,0.0632382583889985,0.0026853417970348356,0.7181910569105691,0.09308943089430895,0.1296165275222867,0.47131993721567833,12000,2460,2460,9840,0.2,0.05,8,True,hard,0,0.8255081300813009,0.8778455284552845,0.8779471544715447
prot50,cross_mask,0.65,0.9043889058317757,0.03667419816298245,0.028316565835205143,0.5725707158406584,0.16105265941771096,0.24589118073553357,0.29522357723577236,0.8521341463414634,0.0801883957206246,0.003220831389490163,0.7781504065040651,0.11107723577235773,0.142745200470158,0.26709734245318417,12000,2460,2460,9840,0.2,0.05,5,True,cross_mask,0,0.8255081300813009,0.8774390243902439,0.8774390243902439
prot25,hard,0.9,0.7512330845708878,0.15676337904847726,0.13673739768497162,1.0274800133697393,0.5150055284791424,0.6376273965495303,0.35884146341463413,0.8272357723577236,0.18793797797013,0.004572384868052394,0.6951219512195121,0.12947154471544717,0.18625730994152045,0.38893425837456946,12000,2460,2460,9840,0.2,0.05,8,True,selected,0,0.6482723577235773,0.833130081300813,0.8314024390243903
prot25,hard,0.9,0.7512330845708878,0.15676337904847726,0.13673739768497162,1.0274800133697393,0.5150055284791424,0.6376273965495303,0.35884146341463413,0.8272357723577236,0.18793797797013,0.004572384868052394,0.6951219512195121,0.12947154471544717,0.18625730994152045,0.38893425837456946,12000,2460,2460,9840,0.2,0.05,8,True,hard,0,0.6482723577235773,0.833130081300813,0.8314024390243903
prot25,cross_mask,0.925,0.7512330845708878,0.1552461392780219,0.13669765852709947,1.0274800133697393,0.5206556091334397,0.6427958019033969,0.3574186991869919,0.8253048780487805,0.18793797797013,0.004572384868052394,0.6921747967479674,0.12560975609756098,0.1814711496109235,0.4006777207678733,12000,2460,2460,9840,0.2,0.05,8,True,cross_mask,0,0.6482723577235773,0.8309959349593496,0.8291666666666667
scaffold,hard,0.75,0.8527027352630515,0.08461601203268498,0.0657762668809474,0.5632707715265203,0.17938591947738994,0.23919261054989016,0.3074186991869919,0.8602642276422764,0.09267177515825609,0.0033205544063821153,0.7235772357723578,0.10111788617886179,0.13974719101123595,0.45904852741460384,12000,2460,2460,9840,0.2,0.05,8,True,selected,0,0.7843495934959349,0.8691056910569106,0.8691056910569106
scaffold,hard,0.75,0.8527027352630515,0.08461601203268498,0.0657762668809474,0.5632707715265203,0.17938591947738994,0.23919261054989016,0.3074186991869919,0.8602642276422764,0.09267177515825609,0.0033205544063821153,0.7235772357723578,0.10111788617886179,0.13974719101123595,0.45904852741460384,12000,2460,2460,9840,0.2,0.05,8,True,hard,0,0.7843495934959349,0.8691056910569106,0.8691056910569106
scaffold,cross_mask,0.8500000000000001,0.8527027352630515,0.08347875268340421,0.06643169692291628,0.5632707715265203,0.18511803703124122,0.24268825520702675,0.32103658536585367,0.8577235772357723,0.09267177515825609,0.0033205544063821153,0.6444105691056911,0.08821138211382114,0.13688692635231037,0.41065654040938704,12000,2460,2460,9840,0.2,0.05,8,True,cross_mask,0,0.7843495934959349,0.8681910569105691,0.8633130081300813
scaffold_prot50,hard,0.8,0.7803093345430043,0.1436729130577893,0.12826497517058255,0.6463401556717923,0.2661962006666953,0.2952144733753181,0.2421747967479675,0.8474593495934959,0.12017233287604574,0.0035633030400102042,0.8405487804878049,0.1369918699186992,0.16297908354491597,0.43296252681825864,12000,2460,2460,9840,0.2,0.05,5,True,selected,0,0.7163617886178861,0.8588414634146342,0.8533536585365854
scaffold_prot50,hard,0.8,0.7803093345430043,0.1436729130577893,0.12826497517058255,0.6463401556717923,0.2661962006666953,0.2952144733753181,0.2421747967479675,0.8474593495934959,0.12017233287604574,0.0035633030400102042,0.8405487804878049,0.1369918699186992,0.16297908354491597,0.43296252681825864,12000,2460,2460,9840,0.2,0.05,5,True,hard,0,0.7163617886178861,0.8588414634146342,0.8533536585365854
scaffold_prot50,cross_mask,0.8250000000000001,0.7803093345430043,0.1440798190465633,0.12372253613389894,0.9707723894847949,0.5077446819376396,0.6080851727475616,0.2788617886178862,0.8451219512195122,0.14795339040068314,0.004217047776135406,0.864430894308943,0.1772357723577236,0.20503174229955326,0.2860269610479417,12000,2460,2460,9840,0.2,0.05,5,True,cross_mask,0,0.7163617886178861,0.8527439024390244,0.8514227642276423
