condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,threshold,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,policy,seed,base_accuracy,gate_accuracy,blanket_accuracy
full,cross_mask,0.4,0.9847220036863873,-0.0001952773781693784,0.0005689736558173175,0.18490898240516862,0.01343183810803289,0.011906794414997611,0.09916666666666667,0.92,0.017602897307891163,0.0036789291623374443,0.9783333333333334,0.07916666666666666,0.08091993185689948,0.3862237554386693,4197,300,300,1200,0.2,0.05,5,True,selected,0,0.9383333333333334,0.9408333333333333,0.9408333333333333
full,hard,0.5,0.9847220036863873,-0.0006631001618413457,1.1238985793915468e-05,0.17250865367532056,0.00853965468468837,0.006340234008244706,0.09166666666666666,0.9191666666666667,0.015365551178994397,0.0030828316451540056,0.69,0.005,0.007246376811594203,0.9711079829261876,4197,300,300,1200,0.2,0.05,5,True,hard,0,0.9383333333333334,0.9383333333333334,0.9333333333333333
full,cross_mask,0.4,0.9847220036863873,-0.0001952773781693784,0.0005689736558173175,0.18490898240516862,0.01343183810803289,0.011906794414997611,0.09916666666666667,0.92,0.017602897307891163,0.0036789291623374443,0.9783333333333334,0.07916666666666666,0.08091993185689948,0.3862237554386693,4197,300,300,1200,0.2,0.05,5,True,cross_mask,0,0.9383333333333334,0.9408333333333333,0.9408333333333333
prot50,hard,0.525,0.9754400062938321,0.00496201222801651,0.0011688545225678748,0.2156558551876489,0.0014479613239577376,0.031229023347551756,0.1475,0.9083333333333333,0.024643599821335023,0.0044466311901730175,0.9033333333333333,0.0825,0.09132841328413284,0.5003430043093686,4197,300,300,1200,0.2,0.05,5,True,selected,0,0.9266666666666666,0.9291666666666667,0.9258333333333333
prot50,hard,0.525,0.9754400062938321,0.00496201222801651,0.0011688545225678748,0.2156558551876489,0.0014479613239577376,0.031229023347551756,0.1475,0.9083333333333333,0.024643599821335023,0.0044466311901730175,0.9033333333333333,0.0825,0.09132841328413284,0.5003430043093686,4197,300,300,1200,0.2,0.05,5,True,hard,0,0.9266666666666666,0.9291666666666667,0.9258333333333333
prot50,cross_mask,0.525,0.9754400062938321,0.004784998201762258,0.001966822513936317,0.2156558551876489,0.004240900403667619,0.03216696836779068,0.14583333333333334,0.9083333333333333,0.024643599821335023,0.0044466311901730175,0.8666666666666667,0.04,0.046153846153846156,0.5373352314393808,4197,300,300,1200,0.2,0.05,5,True,cross_mask,0,0.9266666666666666,0.9266666666666666,0.9258333333333333
prot25,hard,0.65,0.9538330561050171,0.017909323862614568,0.011432858298867088,0.32991453741700394,0.05632436226092863,0.11092495716127088,0.15583333333333332,0.9,0.051131717694547725,0.005903234953527502,0.7816666666666666,0.03833333333333333,0.04904051172707889,0.6896184802161315,4197,300,300,1200,0.2,0.05,5,True,selected,0,0.87,0.9016666666666666,0.905
prot25,hard,0.65,0.9538330561050171,0.017909323862614568,0.011432858298867088,0.32991453741700394,0.05632436226092863,0.11092495716127088,0.15583333333333332,0.9,0.051131717694547725,0.005903234953527502,0.7816666666666666,0.03833333333333333,0.04904051172707889,0.6896184802161315,4197,300,300,1200,0.2,0.05,5,True,hard,0,0.87,0.9016666666666666,0.905
prot25,cross_mask,0.675,0.9538330561050171,0.01732489660133063,0.01049159323862614,0.32991453741700394,0.06622392236025472,0.11238340805905236,0.15666666666666668,0.8991666666666667,0.051131717694547725,0.005903234953527502,0.8583333333333333,0.05583333333333333,0.06504854368932039,0.5446287212345365,4197,300,300,1200,0.2,0.05,5,True,cross_mask,0,0.87,0.9075,0.905
scaffold,cross_mask,0.65,0.9630729073008452,0.008745335820895539,0.004386014206078093,0.264805920366025,0.03401069967074078,0.04306783510383099,0.1,0.915,0.03782784376275531,0.004672080140815246,0.6191666666666666,0.06666666666666667,0.10767160161507403,0.5121507181136964,4197,300,300,1200,0.2,0.05,5,True,selected,0,0.8908333333333334,0.92,0.9183333333333333
scaffold,hard,0.5750000000000001,0.9630729073008452,0.00959809386800936,0.0068473520949469124,0.34215870671392284,0.07061079215894779,0.10406547076067234,0.1525,0.91,0.04084537834071222,0.00537226546577543,0.9208333333333333,0.10416666666666667,0.11312217194570136,0.43649472074223516,4197,300,300,1200,0.2,0.05,8,True,hard,0,0.8908333333333334,0.9125,0.9141666666666667
scaffold,cross_mask,0.65,0.9630729073008452,0.008745335820895539,0.004386014206078093,0.264805920366025,0.03401069967074078,0.04306783510383099,0.1,0.915,0.03782784376275531,0.004672080140815246,0.6191666666666666,0.06666666666666667,0.10767160161507403,0.5121507181136964,4197,300,300,1200,0.2,0.05,5,True,cross_mask,0,0.8908333333333334,0.92,0.9183333333333333
scaffold_prot50,cross_mask,0.775,0.9475504630462147,0.022056509620571818,0.01364412875382126,0.29689927331607585,0.0522247368471819,0.06615321999602294,0.11166666666666666,0.9041666666666667,0.03387945826571842,0.004407655169275041,0.4575,0.034166666666666665,0.07468123861566485,0.714838029352608,4197,300,300,1200,0.2,0.05,3,True,selected,0,0.8825,0.9116666666666666,0.9083333333333333
scaffold_prot50,hard,0.8,0.9475504630462147,0.02033132530120485,0.01572615087214535,0.29689927331607585,0.043467313818716394,0.06619646982454867,0.12583333333333332,0.9033333333333333,0.03387945826571842,0.004407655169275041,0.7341666666666666,0.024166666666666666,0.032917139614074914,0.7854775005570092,4197,300,300,1200,0.2,0.05,12,True,hard,0,0.8825,0.8925,0.9041666666666667
scaffold_prot50,cross_mask,0.775,0.9475504630462147,0.022056509620571818,0.01364412875382126,0.29689927331607585,0.0522247368471819,0.06615321999602294,0.11166666666666666,0.9041666666666667,0.03387945826571842,0.004407655169275041,0.4575,0.034166666666666665,0.07468123861566485,0.714838029352608,4197,300,300,1200,0.2,0.05,3,True,cross_mask,0,0.8825,0.9116666666666666,0.9083333333333333
