condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,threshold,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,policy,seed,base_accuracy,gate_accuracy,blanket_accuracy
full,hard,0.4,0.9042479644079615,0.008473193287782732,0.00438908376484437,0.7434358165840377,0.11719051190189161,0.3527525411889231,0.4622246495539778,0.8044784270890224,0.06141081786035489,0.003227454682996181,0.3002002548698343,0.17877298379756054,0.5955124317768344,0.2052366639986538,12000,1373,1374,5493,0.2,0.05,12,True,selected,0,0.8286910613508102,0.831785909339159,0.831785909339159
full,hard,0.4,0.9042479644079615,0.008473193287782732,0.00438908376484437,0.7434358165840377,0.11719051190189161,0.3527525411889231,0.4622246495539778,0.8044784270890224,0.06141081786035489,0.003227454682996181,0.3002002548698343,0.17877298379756054,0.5955124317768344,0.2052366639986538,12000,1373,1374,5493,0.2,0.05,12,True,hard,0,0.8286910613508102,0.831785909339159,0.831785909339159
full,cross_mask,0.42500000000000004,0.9042479644079615,0.006851745796910169,0.003512473386838133,0.7434358165840377,0.1008573463930861,0.35503214378971276,0.5110140178408884,0.7982887311123248,0.06141081786035489,0.003227454682996181,0.2898234116147825,0.1760422355725469,0.6074120603015075,0.20102888490450205,12000,1373,1374,5493,0.2,0.05,12,True,cross_mask,0,0.8286910613508102,0.8319679592208266,0.8319679592208266
prot50,hard,0.65,0.8184410321266933,0.06045695097345172,0.04897073679019415,0.9448629591926089,0.27345702089067087,0.4945040712358742,0.4585836519206263,0.7829965410522484,0.11964587641276943,0.004136584108002812,0.4205352266521027,0.1571090478791189,0.3735930735930736,0.27357521621394215,12000,1373,1374,5493,0.2,0.05,8,True,selected,0,0.7380302202803568,0.803750227562352,0.803750227562352
prot50,hard,0.65,0.8184410321266933,0.06045695097345172,0.04897073679019415,0.9448629591926089,0.27345702089067087,0.4945040712358742,0.4585836519206263,0.7829965410522484,0.11964587641276943,0.004136584108002812,0.4205352266521027,0.1571090478791189,0.3735930735930736,0.27357521621394215,12000,1373,1374,5493,0.2,0.05,8,True,hard,0,0.7380302202803568,0.803750227562352,0.803750227562352
prot50,cross_mask,0.7000000000000001,0.8184410321266933,0.05731719442257055,0.044032023289665156,0.9448629591926089,0.24781351310717206,0.4949164769926747,0.4869834334607683,0.7768068450755508,0.11964587641276943,0.004136584108002812,0.4168942290187511,0.1585654469324595,0.3803493449781659,0.2721202731888338,12000,1373,1374,5493,0.2,0.05,8,True,cross_mask,0,0.7380302202803568,0.799927180047333,0.799927180047333
prot25,hard,0.875,0.6612175637589053,0.15759777602787128,0.13597330597115842,1.604870054502424,0.7346618504146805,1.0757826315934387,0.4826142363007464,0.744401966138722,0.21977932276478876,0.005345479086478375,0.5126524667758966,0.1489168032040779,0.29048295454545453,0.41058378602168444,12000,1373,1374,5493,0.2,0.05,12,True,selected,0,0.5840160203895868,0.7462224649553978,0.7460404150737302
prot25,hard,0.875,0.6612175637589053,0.15759777602787128,0.13597330597115842,1.604870054502424,0.7346618504146805,1.0757826315934387,0.4826142363007464,0.744401966138722,0.21977932276478876,0.005345479086478375,0.5126524667758966,0.1489168032040779,0.29048295454545453,0.41058378602168444,12000,1373,1374,5493,0.2,0.05,12,True,hard,0,0.5840160203895868,0.7462224649553978,0.7460404150737302
prot25,cross_mask,0.9,0.6612175637589053,0.15488184153800877,0.12704162391326834,1.604870054502424,0.6919046217436728,1.0708319272019327,0.4789732386673949,0.741853267795376,0.21977932276478876,0.005345479086478375,0.5044602221008556,0.1443655561623885,0.286178274990978,0.41861960519876174,12000,1373,1374,5493,0.2,0.05,12,True,cross_mask,0,0.5840160203895868,0.7420353176770436,0.7427635172037138
scaffold,hard,0.47500000000000003,0.8296996921755315,0.04294085050760543,0.038765533734751334,1.03395700998137,0.3397446465077391,0.5470412196577397,0.2867285636264336,0.783542690697251,0.1063860617368922,0.004072099137121897,0.3901328964136173,0.16056799563080285,0.41157256182921137,0.26801080008316475,12000,1373,1374,5493,0.2,0.05,3,True,selected,0,0.7487711632987438,0.7897323866739486,0.7897323866739486
